Season,School,Conf,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Name
2021-22,Ball State,MAC,8,0,100,8.9,0.399,0.326,0.391,0.304,29.0,7.9,13.4,10.6,18.9,1.7,0.0,18.6,15.9,0.0,0.1,0.1,0.042,-2.0,-0.6,-2.6,kani-acree
2021-22,Vanderbilt,SEC,4,0,9,2.5,0.0,0.0,0.5,0.0,1.0,0.0,26.2,12.9,38.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,-0.018,-6.8,1.5,-5.2,max-adelman
2021-22,Arizona,Pac-12,7,0,95,25.1,0.626,0.648,0.593,0.074,39.0,10.1,16.3,13.5,24.0,4.1,2.0,9.7,15.4,0.4,0.2,0.6,0.259,6.5,6.4,12.9,kim-aikenjr
2021-22,California Baptist,WAC,34,33,908,19.4,0.602,0.541,0.005,0.976,366.0,8.5,24.9,16.9,11.4,1.6,4.0,20.7,21.5,1.8,2.1,3.9,0.17,-0.8,1.1,0.3,daniel-akin
2021-22,Chicago State,WAC,21,10,564,12.6,0.502,0.435,0.518,0.353,177.0,4.2,10.8,7.4,20.8,2.8,0.2,20.6,18.4,0.5,0.2,0.8,0.054,-1.6,-1.0,-2.6,dominique-alexander
2020-21,Oral Roberts,Summit,5,0,32,25.3,0.589,0.538,0.538,0.231,16.0,3.5,13.0,8.5,12.3,3.4,2.9,6.5,23.7,0.1,0.0,0.2,0.206,12.4,6.7,19.1,jonathan-alexandre
2021-22,California,Pac-12,1,1,1,-13.7,0.0,0.0,1.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,54.4,0.0,0.0,0.0,-0.463,-44.9,8.4,-36.5,logan-alters
2020-21,South Alabama,Sun Belt,12,0,20,6.4,,,,,2.0,5.7,10.6,8.3,15.9,0.0,0.0,,0.0,0.0,0.0,0.0,0.08,-3.5,-2.0,-5.5,andrew-anderson
2021-22,North Dakota,Summit,2,0,3,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026,-5.0,-3.0,-8.0,jackson-anderson
2021-22,Western Illinois,Summit,13,0,58,8.5,0.44,0.438,0.188,0.438,19.0,10.7,24.7,17.2,6.1,0.0,3.5,26.6,21.8,-0.1,0.1,0.0,-0.009,-11.7,-3.9,-15.6,adam-anhold
2021-22,Wofford,Southern,16,1,48,11.4,0.875,1.0,0.0,0.5,13.0,11.2,23.2,17.1,8.1,1.3,3.0,48.5,16.3,0.0,0.1,0.1,0.063,-4.7,0.8,-3.9,david-appelgren
2020-21,Lehigh,Patriot,6,0,17,-16.2,0.0,0.0,0.333,0.0,0.0,0.0,21.2,10.1,0.0,3.3,0.0,50.0,17.6,-0.1,0.0,-0.1,-0.26,-21.6,-1.5,-23.1,andrei-arion
2021-22,Iowa,Big Ten,18,0,79,23.7,0.57,0.538,0.667,0.359,50.0,4.1,9.8,7.0,26.6,0.0,0.0,11.6,31.8,0.3,0.0,0.4,0.191,5.0,-3.1,1.9,austin-ash
2021-22,Drexel,CAA,2,0,3,-26.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,-0.229,-2.7,1.2,-1.5,ata-atsuren
2021-22,Georgetown,Big East,7,0,18,22.9,0.6,0.6,0.0,0.0,6.0,11.3,0.0,6.0,12.2,3.1,6.3,0.0,13.2,0.1,0.0,0.1,0.156,4.5,3.8,8.3,chuma-azinge
2021-22,Eastern Illinois,OVC,1,0,14,9.2,0.506,0.333,0.333,0.667,4.0,0.0,8.5,4.3,16.6,0.0,8.7,20.2,19.1,0.0,0.0,0.0,0.029,-4.7,0.5,-4.2,myles-baker
2021-22,Fresno State,MWC,23,2,415,10.4,0.542,0.521,0.794,0.216,102.0,0.9,7.8,4.4,5.8,1.7,1.0,8.5,15.9,0.6,0.7,1.3,0.122,-0.3,2.2,1.8,junior-ballard
2020-21,Cincinnati,AAC,8,1,36,-0.4,0.0,0.0,0.2,0.0,2.0,3.0,6.5,4.7,9.0,4.7,0.0,16.7,8.1,-0.1,0.1,0.0,-0.038,-7.3,3.2,-4.1,rob-banks
2021-22,Princeton,Ivy,25,2,155,17.1,0.617,0.652,0.485,0.273,45.0,5.3,17.4,11.3,7.1,1.1,5.8,11.8,14.1,0.3,0.2,0.6,0.148,0.1,1.0,1.1,elijah-barnes
2021-22,Kansas City,Summit,22,0,263,16.3,0.697,0.712,0.154,0.423,81.0,3.7,12.7,8.0,8.2,2.8,0.5,18.3,15.2,0.6,0.5,1.0,0.156,-1.6,0.6,-1.0,timothy-barnes
2021-22,Delaware State,MEAC,28,14,613,10.5,0.459,0.436,0.331,0.267,174.0,6.5,12.3,9.5,4.7,2.1,2.2,15.7,18.5,0.0,0.6,0.6,0.041,-3.1,-2.3,-5.4,dmarco-baucum
2021-22,Cal State Northridge,Big West,25,6,524,8.8,0.442,0.395,0.116,0.256,128.0,3.8,11.9,7.6,8.2,2.1,0.9,17.2,17.7,-0.2,0.3,0.1,0.011,-3.8,-2.1,-6.0,darius-beane
2021-22,Miami (OH),MAC,15,0,144,14.0,0.441,0.316,0.0,0.658,56.0,17.0,15.2,16.2,7.0,2.4,2.4,18.1,21.5,0.1,0.2,0.3,0.085,-4.9,-2.3,-7.2,james-beck
2021-22,Stanford,Pac-12,5,1,10,-12.4,0.0,0.0,1.0,0.0,0.0,0.0,12.2,6.0,0.0,6.0,0.0,25.0,20.5,-0.1,0.0,-0.1,-0.232,-13.7,2.1,-11.6,daniel-begovich
2021-22,Merrimack,NEC,17,0,92,9.5,0.495,0.417,0.833,0.375,26.0,1.3,12.0,6.6,6.8,1.4,0.0,9.6,19.1,0.1,0.1,0.2,0.076,-2.1,-2.3,-4.4,james-berryiii
2021-22,Bethune-Cookman,SWAC,5,0,19,-5.9,0.0,0.0,0.0,0.0,0.0,0.0,6.6,3.1,0.0,3.1,0.0,33.3,8.2,-0.1,0.0,0.0,-0.092,-12.3,0.1,-12.2,quavon-blackwood
2021-22,William & Mary,CAA,13,3,308,18.1,0.655,0.631,0.363,0.488,113.0,5.8,15.9,10.7,5.5,1.3,1.1,14.7,18.9,0.8,0.2,1.0,0.129,1.2,-1.3,-0.2,quinn-blair
2019-20,Youngstown State,Horizon,5,0,13,19.2,0.58,0.5,0.8,0.8,7.0,0.0,8.7,4.2,15.5,0.0,0.0,12.7,29.6,0.1,0.0,0.1,0.171,-17.2,-10.9,-28.1,justin-bofenkamp
2021-22,Houston Baptist,Southland,16,7,277,4.2,0.397,0.354,0.615,0.271,88.0,2.1,13.3,7.5,14.6,1.8,1.6,22.8,24.3,-0.5,0.2,-0.2,-0.032,-5.7,-1.9,-7.5,za-ontay-boothman
2021-22,Louisiana-Monroe,Sun Belt,9,1,171,19.2,0.565,0.541,0.479,0.192,84.0,3.4,10.2,6.8,21.2,2.3,0.7,15.8,28.1,0.3,0.1,0.5,0.106,-0.5,-3.4,-4.0,trey-boston
2021-22,Norfolk State,MEAC,16,0,82,2.1,0.374,0.278,0.167,0.556,19.0,1.5,7.6,4.7,12.3,2.1,0.0,26.0,18.5,-0.1,0.2,0.0,0.01,-9.4,-3.0,-12.4,andre-bottoms
2021-22,Morgan State,MEAC,14,0,84,9.1,0.597,0.607,0.286,0.286,18.0,1.3,1.4,1.3,10.1,3.8,0.0,23.9,11.4,0.0,0.1,0.2,0.088,-7.1,-1.3,-8.4,elijah-bowens
2021-22,Northeastern,CAA,21,0,80,3.2,0.533,0.571,0.0,0.714,10.0,4.9,8.0,6.5,0.0,0.0,2.8,29.9,9.1,0.0,0.0,0.0,0.003,-6.1,-0.6,-6.7,connor-braun
2020-21,Missouri State,MVC,4,0,11,44.0,0.737,0.875,0.25,0.75,6.0,11.5,19.5,15.8,0.0,5.3,0.0,0.0,25.8,0.1,0.0,0.1,0.329,-5.4,-5.7,-11.2,elijah-bridgers
2021-22,Prairie View,SWAC,6,1,30,1.7,0.223,0.25,0.0,0.25,3.0,3.9,3.7,3.8,6.0,1.9,7.2,18.3,8.8,0.0,0.0,0.0,-0.025,-5.7,0.1,-5.6,jerroda-briscoe
2020-21,Manhattan,MAAC,3,0,11,12.6,0.606,0.5,0.0,0.5,3.0,9.4,0.0,5.1,0.0,5.4,0.0,0.0,11.3,0.0,0.0,0.1,0.194,-7.2,3.7,-3.6,amir-britt
2021-22,Jacksonville,A-Sun,12,0,108,14.8,0.408,0.379,0.31,0.207,30.0,9.2,27.0,18.2,12.6,4.1,5.2,22.0,20.5,-0.1,0.3,0.3,0.097,-2.9,0.7,-2.1,isaiah-broady
2021-22,Binghamton,AEC,6,0,13,-14.0,0.084,0.0,0.4,0.4,1.0,0.0,8.5,4.3,0.0,0.0,0.0,0.0,23.8,-0.1,0.0,-0.1,-0.24,-24.9,-12.9,-37.8,alex-brodsky
2021-22,Radford,Big South,2,0,2,-56.9,0.0,0.0,1.0,0.0,0.0,0.0,65.1,30.6,0.0,0.0,0.0,50.0,52.9,0.0,0.0,0.0,-0.811,-53.1,-11.9,-65.0,austin-brown
2021-22,Florida A&M,SWAC,19,3,348,16.6,0.634,0.629,0.613,0.108,110.0,4.7,8.8,6.8,7.9,1.0,2.6,10.1,16.3,0.8,0.3,1.1,0.13,2.2,-1.7,0.5,johnny-brown
