srcbb_name,Name,Class,Ht,Wt,Immediately Eligible,January Eligible,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORtg,DRtg,3PT Rating,3PT Rating Log,D Adj,total_z
kani-acree,Kani Acree,RS SO,78,185,,,2021-22,Ball State,MAC,8.0,0.0,12.5,0.6,2.9,0.217,0.0,1.8,0.0,0.6,1.1,0.556,0.8,0.9,0.857,0.9,1.5,2.4,1.4,0.4,0.0,0.8,1.1,2.6,-4.56,8.9,0.399,0.326,0.391,0.304,29.0,7.9,13.4,10.6,18.9,1.7,0.0,18.6,15.9,0.0,0.1,0.1,0.042,-2.0,-0.6,-2.6,95.5,109.5,0.6689375000000002,-0.4020646462375424,-0.43835162923198695,1.38418902064152
kim-aikenjr,"Kim Aiken, Jr.",RS JR,79,215,Yes,,2021-22,Arizona,Pac-12,7.0,0.0,13.6,1.9,3.9,0.481,0.6,1.6,0.364,1.3,2.3,0.563,0.0,0.3,0.0,1.1,2.3,3.4,2.0,1.0,0.3,0.4,1.1,5.0,6.84,25.1,0.626,0.648,0.593,0.074,39.0,10.1,16.3,13.5,24.0,4.1,2.0,9.7,15.4,0.4,0.2,0.6,0.259,6.5,6.4,12.9,139.0,88.7,1.4989283613445377,0.4047504270141517,1.3831291667643755,4.316866318649279
dominique-alexander,Dominique Alexander,SR,70,160,,,2021-22,Chicago State,WAC,21.0,10.0,26.9,2.3,6.6,0.353,1.2,3.2,0.388,1.1,3.4,0.319,2.0,2.3,0.857,1.0,2.4,3.4,2.6,1.2,0.0,2.0,2.3,7.8,-1.96,12.6,0.502,0.435,0.518,0.353,177.0,4.2,10.8,7.4,20.8,2.8,0.2,20.6,18.4,0.5,0.2,0.8,0.054,-1.6,-1.0,-2.6,100.7,111.8,0.2307342981058595,-1.4664884551263686,0.6983025481393936,-1.1768831719444226
junior-ballard,Junior Ballard,JR,75,185,Yes,,2021-22,Fresno State,MWC,23.0,2.0,18.0,1.6,4.2,0.381,0.4,0.9,0.5,1.2,3.3,0.351,0.7,0.9,0.714,0.1,1.1,1.3,0.5,0.5,0.1,0.4,1.9,5.0,1.94,10.4,0.542,0.521,0.794,0.216,102.0,0.9,7.8,4.4,5.8,1.7,1.0,8.5,15.9,0.6,0.7,1.3,0.122,-0.3,2.2,1.8,109.5,98.3,0.3175532608695652,-1.1471097239476937,1.5446898957792898,1.647418916469282
timothy-barnes,Timothy Barnes,FR,75,180,,,2021-22,Kansas City,Summit,22.0,0.0,12.0,1.6,2.4,0.673,1.4,2.0,0.705,0.2,0.4,0.5,0.6,1.0,0.591,0.4,1.2,1.5,0.5,0.6,0.0,0.6,1.3,4.0,-5.23,16.3,0.697,0.712,0.154,0.423,81.0,3.7,12.7,8.0,8.2,2.8,0.5,18.3,15.2,0.6,0.5,1.0,0.156,-1.6,0.6,-1.0,119.5,97.1,0.08257575757575758,-2.4940391333512726,-1.031514138453286,-2.226173620978993
dmarco-baucum,D'Marco Baucum,RS SO,78,225,,,2021-22,Delaware State,MEAC,28.0,14.0,21.9,2.4,6.1,0.384,1.7,4.1,0.417,0.6,2.0,0.316,1.0,1.6,0.609,1.3,2.5,3.8,0.5,0.8,0.4,1.3,1.7,6.4,-7.39,10.5,0.459,0.436,0.331,0.267,174.0,6.5,12.3,9.5,4.7,2.1,2.2,15.7,18.5,0.0,0.6,0.6,0.041,-3.1,-2.3,-5.4,89.8,104.8,0.11999445531637314,-2.1203097429644977,-0.864485047226247,-0.6969913646525356
darius-beane,Darius Beane,JR,75,175,,,2021-22,Cal State Northridge,Big West,25.0,6.0,21.0,2.0,5.2,0.38,1.8,4.6,0.395,0.2,0.6,0.267,1.0,1.3,0.788,0.7,2.0,2.7,0.8,0.7,0.2,1.2,1.5,5.1,-1.41,8.8,0.442,0.395,0.116,0.256,128.0,3.8,11.9,7.6,8.2,2.1,0.9,17.2,17.7,-0.2,0.3,0.1,0.011,-3.8,-2.1,-6.0,86.3,109.7,0.035320285714285714,-3.3432978139731584,0.8493644402712641,-1.163317457388175
quinn-blair,Quinn Blair,JR,79,225,Yes,,2021-22,William & Mary,CAA,13.0,3.0,23.7,3.4,6.2,0.55,2.4,3.9,0.608,1.0,2.2,0.448,2.2,3.0,0.718,1.2,3.2,4.5,0.5,0.5,0.2,1.3,2.4,9.9,-1.88,18.1,0.655,0.631,0.363,0.488,113.0,5.8,15.9,10.7,5.5,1.3,1.1,14.7,18.9,0.8,0.2,1.0,0.129,1.2,-1.3,-0.2,118.4,107.5,0.3767576760791952,-0.9761530672193989,0.35911425981635847,1.9627384117465714
za-ontay-boothman,Za-Ontay Boothman,FR,73,175,,,2021-22,Houston Baptist,Southland,16.0,7.0,17.3,1.8,6.0,0.292,1.0,2.3,0.432,0.8,3.7,0.203,1.1,1.6,0.692,0.3,1.9,2.2,1.4,0.6,0.3,2.0,1.8,5.4,-6.71,4.2,0.397,0.354,0.615,0.271,88.0,2.1,13.3,7.5,14.6,1.8,1.6,22.8,24.3,-0.5,0.2,-0.2,-0.032,-5.7,-1.9,-7.5,75.6,107.1,0.30655896856936415,-1.182345148736342,-1.121305726902395,-1.7206293336776688
trey-boston,Trey Boston,SO,74,165,,,2021-22,Louisiana-Monroe,Sun Belt,9.0,1.0,19.0,3.8,8.1,0.466,2.6,4.2,0.605,1.2,3.9,0.314,1.2,1.6,0.786,0.6,1.7,2.2,1.9,0.8,0.1,1.7,1.7,10.0,-2.59,19.2,0.565,0.541,0.479,0.192,84.0,3.4,10.2,6.8,21.2,2.3,0.7,15.8,28.1,0.3,0.1,0.5,0.106,-0.5,-3.4,-4.0,104.4,107.7,0.8181903508771929,-0.20066026666662876,-0.00033067449288604056,0.6799802086111277
johnny-brown,Johnny Brown,SO,81,180,,,2021-22,Florida A&M,SWAC,19.0,3.0,18.3,2.5,4.9,0.505,1.3,1.9,0.667,1.2,3.0,0.404,0.4,0.5,0.7,0.7,1.4,2.2,0.7,0.3,0.4,0.6,1.5,6.5,-6.7,16.6,0.634,0.629,0.613,0.108,110.0,4.7,8.8,6.8,7.9,1.0,2.6,10.1,16.3,0.8,0.3,1.1,0.13,2.2,-1.7,0.5,121.6,106.5,0.3964184641932702,-0.9252848979106248,-1.0052998893629255,1.315434652430881
wynton-brown,Wynton Brown,FR,80,215,,,2021-22,Northern Arizona,Big Sky,22.0,0.0,10.6,0.9,1.8,0.475,0.7,1.3,0.536,0.2,0.5,0.333,0.5,1.0,0.455,0.5,1.4,2.0,0.5,0.4,0.0,0.8,1.4,2.4,-4.1,8.5,0.515,0.525,0.3,0.55,55.0,5.7,15.8,10.6,10.0,2.0,0.5,26.3,15.0,0.0,0.2,0.2,0.031,-6.0,-1.8,-7.8,89.9,107.6,0.07707407804459691,-2.5629882670771593,-0.2973550777170579,0.11185525739838653
