,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 25,ORtg,DRtg,Name
2,2021-22,Ball State,MAC,8,0,100,2.8,12.9,0.217,0.0,7.8,0.0,2.8,5.0,0.556,3.4,3.9,0.857,10.6,6.1,1.7,0.0,3.4,5.0,11.7,,95.5,109.5,kani-acree
1,2021-22,Vanderbilt,SEC,4,0,9,0.0,12.9,0.0,0.0,6.4,0.0,0.0,6.4,0.0,0.0,0.0,,12.9,12.9,0.0,0.0,0.0,0.0,0.0,,58.3,100.9,max-adelman
3,2021-22,Arizona,Pac-12,7,0,95,7.5,15.6,0.481,2.3,6.4,0.364,5.2,9.3,0.563,0.0,1.2,0.0,13.9,8.1,4.1,1.2,1.7,4.6,20.3,,139.0,88.7,kim-aikenjr
4,2021-22,California Baptist,WAC,34,33,908,7.2,13.3,0.541,7.2,13.2,0.543,0.0,0.1,0.0,9.0,13.0,0.696,17.4,3.2,1.6,2.2,5.1,6.9,23.4,,109.0,91.9,daniel-akin
0,2021-22,Chicago State,WAC,21,10,564,5.2,14.8,0.353,2.8,7.1,0.388,2.4,7.7,0.319,4.5,5.2,0.857,7.7,5.7,2.8,0.1,4.5,5.1,17.3,,100.7,111.8,dominique-alexander
0,2020-21,Oral Roberts,Summit,5,0,32,10.2,22.1,0.462,6.8,10.2,0.667,3.4,11.9,0.286,5.1,5.1,1.0,8.5,3.4,3.4,1.7,1.7,5.1,28.9,,122.4,99.7,jonathan-alexandre
2,2021-22,California,Pac-12,1,1,1,0.0,61.6,0.0,0.0,0.0,,0.0,61.6,0.0,0.0,0.0,,123.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.4,logan-alters
0,2020-21,South Alabama,Sun Belt,12,0,20,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,8.8,5.8,0.0,0.0,0.0,5.8,0.0,,232.5,110.7,andrew-anderson
0,2021-22,North Dakota,Summit,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,122.5,jackson-anderson
1,2021-22,Western Illinois,Summit,13,0,58,6.7,15.2,0.438,6.7,12.4,0.538,0.0,2.9,0.0,2.9,6.7,0.429,17.1,1.9,0.0,1.9,6.7,5.7,16.2,,79.9,106.5,adam-anhold
2,2021-22,Wofford,Southern,16,1,48,7.6,7.6,1.0,7.6,7.6,1.0,0.0,0.0,,1.3,3.8,0.333,15.2,2.5,1.3,1.3,8.9,12.7,16.5,,92.2,101.3,david-appelgren
1,2020-21,Lehigh,Patriot,6,0,17,0.0,9.9,0.0,0.0,6.6,0.0,0.0,3.3,0.0,0.0,0.0,,9.9,0.0,3.3,0.0,9.9,13.2,0.0,,0.0,103.0,andrei-arion
3,2021-22,Iowa,Big Ten,18,0,79,12.2,28.1,0.436,6.5,9.4,0.692,5.8,18.7,0.308,7.2,10.1,0.714,7.2,7.9,0.0,0.0,4.3,3.6,37.4,,118.1,109.6,austin-ash
0,2021-22,Drexel,CAA,2,0,3,0.0,19.6,0.0,0.0,0.0,,0.0,19.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,39.2,0.0,,0.0,110.1,ata-atsuren
1,2021-22,Georgetown,Big East,7,0,18,9.4,15.6,0.6,9.4,15.6,0.6,0.0,0.0,,0.0,0.0,,6.3,3.1,3.1,3.1,0.0,6.3,18.8,,142.4,110.6,chuma-azinge
2,2021-22,Eastern Illinois,OVC,1,0,14,4.3,12.9,0.333,4.3,8.6,0.5,0.0,4.3,0.0,8.6,8.6,1.0,4.3,4.3,0.0,4.3,4.3,8.6,17.2,,93.5,111.4,myles-baker
3,2021-22,Fresno State,MWC,23,2,415,5.7,15.0,0.381,1.5,3.1,0.5,4.2,11.9,0.351,2.3,3.2,0.714,4.5,1.9,1.7,0.5,1.5,6.8,17.9,,109.5,98.3,junior-ballard
1,2020-21,Cincinnati,AAC,8,1,36,0.0,7.8,0.0,0.0,6.2,0.0,0.0,1.6,0.0,0.0,0.0,,4.7,3.1,4.7,0.0,1.6,6.2,0.0,,30.1,100.5,rob-banks
3,2021-22,Princeton,Ivy,25,2,155,6.8,12.4,0.545,4.1,6.4,0.647,2.6,6.0,0.438,1.1,3.4,0.333,11.3,2.6,1.1,3.4,1.9,5.3,17.3,,121.0,99.1,elijah-barnes
0,2021-22,Kansas City,Summit,22,0,263,7.6,11.3,0.673,6.7,9.5,0.705,0.9,1.7,0.5,2.8,4.8,0.591,7.4,2.6,2.8,0.2,3.0,6.3,18.8,,119.5,97.1,timothy-barnes
3,2021-22,Delaware State,MEAC,28,14,613,6.1,15.8,0.384,4.4,10.6,0.417,1.7,5.2,0.316,2.6,4.2,0.609,9.8,1.2,2.1,1.0,3.3,4.3,16.4,,89.8,104.8,dmarco-baucum
3,2021-22,Cal State Northridge,Big West,25,6,524,5.7,15.0,0.38,5.2,13.2,0.395,0.5,1.7,0.267,3.0,3.8,0.788,7.9,2.3,2.1,0.5,3.5,4.3,14.9,,86.3,109.7,darius-beane
3,2021-22,Miami (OH),MAC,15,0,144,4.8,15.3,0.316,4.8,15.3,0.316,0.0,0.0,,8.1,10.1,0.8,16.5,2.4,2.4,1.2,4.4,9.7,17.7,,99.3,104.3,james-beck
2,2021-22,Stanford,Pac-12,5,1,10,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,6.0,0.0,6.0,0.0,6.0,0.0,0.0,,0.0,96.4,daniel-begovich
1,2021-22,Merrimack,NEC,17,0,92,4.8,16.3,0.292,0.7,2.7,0.25,4.1,13.6,0.3,5.4,6.1,0.889,6.8,2.0,1.4,0.0,2.0,6.8,19.0,,100.2,105.1,james-berryiii
1,2021-22,Bethune-Cookman,SWAC,5,0,19,0.0,6.3,0.0,0.0,6.3,0.0,0.0,0.0,,0.0,0.0,,3.1,0.0,3.1,0.0,3.1,6.3,0.0,,0.0,105.6,quavon-blackwood
3,2021-22,William & Mary,CAA,13,3,308,8.2,14.9,0.55,5.8,9.5,0.608,2.4,5.4,0.448,5.2,7.2,0.718,10.8,1.3,1.3,0.6,3.2,5.8,24.0,,118.4,107.5,quinn-blair
1,2019-20,Youngstown State,Horizon,5,0,13,9.0,22.4,0.4,4.5,4.5,1.0,4.5,17.9,0.25,13.5,17.9,0.75,4.5,4.5,0.0,0.0,4.5,9.0,35.9,,117.8,110.4,justin-bofenkamp
1,2021-22,Houston Baptist,Southland,16,7,277,5.6,19.2,0.292,3.2,7.4,0.432,2.4,11.8,0.203,3.6,5.2,0.692,7.0,4.4,1.8,0.8,6.4,5.6,17.2,,75.6,107.1,za-ontay-boothman
0,2021-22,Louisiana-Monroe,Sun Belt,9,1,171,11.4,24.5,0.466,7.7,12.7,0.605,3.7,11.7,0.314,3.7,4.7,0.786,6.7,5.7,2.3,0.3,5.0,5.0,30.2,,104.4,107.7,trey-boston
1,2021-22,Norfolk State,MEAC,16,0,82,3.4,12.4,0.278,3.4,10.3,0.333,0.0,2.1,0.0,4.8,6.9,0.7,4.8,4.1,2.1,0.0,5.5,6.2,11.7,,71.6,96.1,andre-bottoms
1,2021-22,Morgan State,MEAC,14,0,84,5.0,8.8,0.571,4.4,6.3,0.7,0.6,2.5,0.25,1.3,2.5,0.5,1.3,3.1,3.8,0.0,3.1,5.7,11.9,,99.5,98.2,elijah-bowens
1,2021-22,Northeastern,CAA,21,0,80,3.1,5.3,0.571,3.1,5.3,0.571,0.0,0.0,,1.5,3.8,0.4,6.1,0.0,0.0,1.5,3.1,6.1,7.6,,82.2,111.4,connor-braun
0,2020-21,Missouri State,MVC,4,0,11,15.9,21.2,0.75,10.6,15.9,0.667,5.3,5.3,1.0,5.3,15.9,0.333,15.9,0.0,5.3,0.0,0.0,0.0,42.3,,144.0,89.1,elijah-bridgers
1,2021-22,Prairie View,SWAC,6,1,30,1.9,7.4,0.25,1.9,7.4,0.25,0.0,0.0,,0.0,1.9,0.0,3.7,1.9,1.9,3.7,1.9,9.3,3.7,,58.2,108.3,jerroda-briscoe
0,2020-21,Manhattan,MAAC,3,0,11,5.4,10.8,0.5,5.4,10.8,0.5,0.0,0.0,,5.4,5.4,1.0,5.4,0.0,5.4,0.0,0.0,26.9,16.1,,144.6,95.6,amir-britt
0,2021-22,Jacksonville,A-Sun,12,0,108,6.5,17.0,0.379,6.5,11.7,0.55,0.0,5.3,0.0,2.3,3.5,0.667,18.8,4.1,4.1,2.3,5.3,4.1,15.3,,84.2,84.2,isaiah-broady
1,2021-22,Binghamton,AEC,6,0,13,0.0,22.8,0.0,0.0,13.7,0.0,0.0,9.1,0.0,4.6,9.1,0.5,4.6,0.0,0.0,0.0,0.0,0.0,4.6,,21.4,109.9,alex-brodsky
