,Stars,Position,Name,Class,Ht,Wt,Immediately Eligible,January Eligible,Previous School,srcbb_name
5,2,SG,Kani Acree,RS SO,78,185,,,Ball State,kani-acree
10,2,SG,Max Adelman,FR,77,205,,,Vanderbilt,max-adelman
12,2,PF,Emmanuel Adeoye,SO,81,230,,,Texas A&M–Commerce,emmanuel-adeoye
20,2,SF,"Kim Aiken, Jr.",RS JR,79,215,Yes,,Arizona,kim-aikenjr
24,2,PF,Daniel Akin,RS SR,81,225,Yes,,California Baptist,daniel-akin
25,2,PF,Mayowa Akinsanya,RS JR,79,225,Yes,,Maryland Eastern Shore,mayowa-akinsanya
33,2,PG,Dominique Alexander,SR,70,160,,,Chicago State,dominique-alexander
34,2,SG,Jonathan Alexandre,FR,78,185,,,Oral Roberts,jonathan-alexandre
44,2,PG,Logan Alters,SO,73,175,Yes,,California,logan-alters
52,2,PG,Andrew Anderson,FR,72,160,,,South Alabama,andrew-anderson
56,2,PG,Jackson Anderson,FR,74,170,,,North Dakota,jackson-anderson
64,2,PF,Adam Anhold,RS JR,80,240,,,Western Illinois,adam-anhold
68,2,C,David Appelgren,JR,85,245,Yes,,Wofford,david-appelgren
71,2,PG,Yiğit Arcan,FR,74,170,,,Saint Mary's,yigit-arcan
72,2,PG,Andrei Arion,SO,75,180,Yes,,Lehigh,andrei-arion
74,2,SG,Bryon Armstrong,FR,74,240,,,Incarnate Word,bryon-armstrong
76,2,PG,Austin Ash,RS JR,75,180,Yes,,Iowa,austin-ash
78,2,SG,Ata Atsüren,FR,75,192,,,Drexel,ata-atsuren
82,2,SG,Chuma Azinge,SO,75,183,,,Georgetown,chuma-azinge
83,2,C,Victor Baffuto,RS JR,82,230,Yes,,Mercer,victor-baffuto
90,2,SG,Myles Baker,SO,75,195,,,Eastern Illinois,myles-baker
94,2,SG,Junior Ballard,JR,75,185,Yes,,Fresno State,junior-ballard
101,2,SF,Rob Banks,SO,77,190,,,Cincinnati,rob-banks
104,2,PF,Elijah Barnes,SR,79,215,Yes,,Princeton,elijah-barnes
106,2,SG,Timothy Barnes,FR,75,180,,,Kansas City,timothy-barnes
108,2,PG,Jaylen Bartley,JR,74,173,,,Syracuse,jaylen-bartley
117,3,PF,D'Marco Baucum,RS SO,78,225,,,Delaware State,dmarco-baucum
121,3,PG,Darius Beane,JR,75,175,,,Cal State Northridge,darius-beane
126,2,PF,James Beck,RS JR,80,215,Yes,,Miami (OH),james-beck
129,2,SG,Daniel Begovich,SR,77,205,,,Stanford,daniel-begovich
134,2,SG,Myles Belyeu,JR,76,211,,,Southern Indiana,myles-belyeu
141,2,SG,James Berry III,FR,77,175,,,Merrimack,james-berryiii
154,2,SG,Quavon Blackwood,JR,72,198,,,Bethune–Cookman,quavon-blackwood
155,2,SF,Quinn Blair,JR,79,225,Yes,,William & Mary,quinn-blair
159,2,PG,Justin Bofenkamp,RS JR,72,177,,,Youngstown State,justin-bofenkamp
163,2,PG,Za-Ontay Boothman,FR,73,175,,,Houston Baptist,za-ontay-boothman
167,2,PG,Trey Boston,SO,74,165,,,Louisiana–Monroe,trey-boston
168,2,PG,Andre Bottoms,FR,72,180,,,Norfolk State,andre-bottoms
173,2,PG,Elijah Bowens,RS SO,71,170,Yes,,Morgan State,elijah-bowens
180,2,SG,Johnny Braggs,FR,75,200,,,Montana,johnny-braggs
182,2,PF,Connor Braun,RS FR,81,205,Yes,,Northeastern,connor-braun
187,2,PG,Elijah Bridgers,FR,74,172,,,Missouri State,elijah-bridgers
189,2,PF,Jerroda Briscoe,JR,80,185,,,Prairie View A&M,jerroda-briscoe
191,2,PF,Amir Britt,FR,79,210,,,Manhattan,amir-britt
193,2,SF,Isaiah Broady,FR,79,175,,,Jacksonville,isaiah-broady
194,2,SG,Alex Brodsky,RS JR,77,200,Yes,,Binghamton,alex-brodsky
198,2,PG,Austin Brown,SR,74,180,Yes,,Radford,austin-brown
202,2,SF,Johnny Brown,SO,81,180,,,Florida A&M,johnny-brown
205,2,PG,Justin Brown,JR,72,180,,,Jackson State,justin-brown
215,2,PF,Wynton Brown,FR,80,215,,,Northern Arizona,wynton-brown
225,2,SG,Jordan Burge,RS SO,75,200,,,Toledo,jordan-burge
231,2,PG,Antwuan Butler,JR,72,205,,,NJIT,antwuan-butler
234,2,SG,Rashamel Butler,SO,76,200,,,South Carolina State,rashamel-butler
237,2,PF,Jaylen Butz,SR,81,230,Yes,,Western Kentucky,jaylen-butz
239,2,PG,Jaden Byers,FR,74,165,,,Pacific,jaden-byers
241,2,PG,Hakim Byrd,FR,70,155,,,UMBC,hakim-byrd
252,2,SF,Tyree Campbell,FR,77,190,,,California Baptist,tyree-campbell
255,2,SG,Colin Carey,FR,77,190,,,Northern Arizona,colin-carey
260,2,PF,Robert Carpenter,SO,80,215,,,Mississippi Valley State,robert-carpenter
262,2,SG,"Rodney Carson, Jr.",SO,75,180,,,New Orleans,rodney-carsonjr
264,2,PG,Courtney Carter,RS JR,73,180,,,SIUE,courtney-carter
272,2,PF,Graham Cassoutt,FR,79,200,,,South Dakota,graham-cassoutt
273,2,PG,Marsei Caston,SO,75,173,,,New Mexico State,marsei-caston
275,2,SF,Samkelo Cele,JR,77,210,Yes,,Marist,samkelo-cele
288,2,PG,Caleb Christopher,SO,73,180,,,Tennessee Tech,caleb-christopher
289,2,SG,Favour Chukwukelu,SO,73,170,,,Chicago State,favour-chukwukelu
291,2,PG,Cam Clardy,FR,73,183,,,UTEP,cam-clardy
295,2,PG,Kareem Clark,JR,74,191,,,Alabama State,kareem-clark
302,2,SF,Chandler Clements,SO,79,195,,,Austin Peay,chandler-clements
303,2,PG,Kejuan Clements,SO,74,185,,,Eastern Illinois,kejuan-clements
304,2,SG,Malcolm Clements,FR,75,170,,,Eastern Michigan,malcolm-clements
307,2,PG,Spencer Cody,JR,71,185,Yes,,Xavier,spencer-cody
308,2,PG,Jimel Cofer,FR,75,182,,,Stephen F. Austin,jimel-cofer
315,2,SF,Lance Coleman II,RS SR,78,205,Yes,,Cal State Northridge,lance-colemanii
320,2,PF,Kyle Colvin,RS SO,78,210,,,Cal Poly,kyle-colvin
322,2,PF,Bailey Conrad,FR,79,220,,,Western Kentucky,bailey-conrad
324,2,PG,Chase Cook,FR,70,170,,,Robert Morris,chase-cook
335,2,PG,Virshon Cotton,RS JR,74,170,Yes,,New Mexico State,virshon-cotton
342,2,PF,Chase Courtney,FR,82,230,,,Arizona State,chase-courtney
346,2,PG,Cameron Crawford,FR,73,165,,,New Mexico State,cameron-crawford
347,2,PF,Logan Cremonesi,FR,80,220,,,UCLA,logan-cremonesi
350,2,PG,Jackson Cronin,FR,73,187,,,Nebraska,jackson-cronin
351,2,SF,Omar Croskey,SO,78,195,,,South Carolina State,omar-croskey
358,3,PG,Carlos Curtis,JR,74,205,Yes,,SIUE,carlos-curtis
360,2,PG,Deven Dahlke,FR,74,188,,,Drake,deven-dahlke
363,3,PG,Peyton Daniels,FR,74,175,,,Stephen F. Austin,peyton-daniels
365,2,PG,Ben Daugherty,SO,75,183,Yes,,Elon,ben-daugherty
368,2,PG,Brendan Davis,FR,72,160,,,UMBC,brendan-davis
390,2,PG,Mike DiGiulio,FR,72,170,,,Kent State,mike-digiulio
391,2,PF,Mohamed Diallo,JR,78,210,,,Stony Brook,mohamed-diallo
397,2,PF,David Didenko,JR,81,230,,,UT Martin,david-didenko
402,2,C,Assane Diouf,RS SO,86,250,,,Austin Peay,assane-diouf
403,2,SG,Charles Dismuke,FR,75,-,,,Jackson State,charles-dismuke
413,4,PG,Devonaire Doutrive,JR,77,185,,,Boise State,devonaire-doutrive
414,2,PG,Jeremy DowDell,FR,74,174,,,Brigham Young,jeremy-dowdell
420,2,PG,Sean Duke,FR,74,180,,,Manhattan,sean-duke
422,2,PF,Joseph Dupree II,FR,78,-,,,Jackson State,joseph-dupreeii
