Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Name
2021-22,Ball State,MAC,8.0,0.0,12.5,0.6,2.9,0.217,0.0,1.8,0.0,0.6,1.1,0.556,0.8,0.9,0.857,0.9,1.5,2.4,1.4,0.4,0.0,0.8,1.1,2.6,-4.56,kani-acree
2021-22,Vanderbilt,SEC,4.0,0.0,2.3,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,8.05,max-adelman
2021-22,Arizona,Pac-12,7.0,0.0,13.6,1.9,3.9,0.481,0.6,1.6,0.364,1.3,2.3,0.563,0.0,0.3,0.0,1.1,2.3,3.4,2.0,1.0,0.3,0.4,1.1,5.0,6.84,kim-aikenjr
2021-22,California Baptist,WAC,34.0,33.0,26.7,3.3,6.1,0.541,3.3,6.1,0.543,0.0,0.0,0.0,4.2,6.0,0.696,2.0,6.1,8.1,1.5,0.7,1.0,2.4,3.2,10.8,-3.34,daniel-akin
2021-22,Chicago State,WAC,21.0,10.0,26.9,2.3,6.6,0.353,1.2,3.2,0.388,1.1,3.4,0.319,2.0,2.3,0.857,1.0,2.4,3.4,2.6,1.2,0.0,2.0,2.3,7.8,-1.96,dominique-alexander
2020-21,Oral Roberts,Summit,5.0,0.0,6.4,1.2,2.6,0.462,0.8,1.2,0.667,0.4,1.4,0.286,0.6,0.6,1.0,0.2,0.8,1.0,0.4,0.4,0.2,0.2,0.6,3.4,-0.04,jonathan-alexandre
2021-22,California,Pac-12,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,logan-alters
2020-21,South Alabama,Sun Belt,12.0,0.0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.1,0.2,0.3,0.2,0.0,0.0,0.0,0.2,0.0,-5.86,andrew-anderson
2021-22,North Dakota,Summit,2.0,0.0,1.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.26,jackson-anderson
2021-22,Western Illinois,Summit,13.0,0.0,4.5,0.5,1.2,0.438,0.5,1.0,0.538,0.0,0.2,0.0,0.2,0.5,0.429,0.5,0.9,1.4,0.2,0.0,0.2,0.5,0.5,1.3,-5.51,adam-anhold
2021-22,Wofford,Southern,16.0,1.0,3.0,0.4,0.4,1.0,0.4,0.4,1.0,0.0,0.0,,0.1,0.2,0.333,0.3,0.5,0.8,0.1,0.1,0.1,0.4,0.6,0.8,-1.55,david-appelgren
2020-21,Lehigh,Patriot,6.0,0.0,2.8,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.2,0.0,0.5,0.7,0.0,-4.58,andrei-arion
2021-22,Iowa,Big Ten,18.0,0.0,4.4,0.9,2.2,0.436,0.5,0.7,0.692,0.4,1.4,0.308,0.6,0.8,0.714,0.2,0.4,0.6,0.6,0.0,0.0,0.3,0.3,2.9,6.87,austin-ash
2021-22,Drexel,CAA,2.0,0.0,1.5,0.0,0.5,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.9,ata-atsuren
2021-22,Georgetown,Big East,7.0,0.0,2.6,0.4,0.7,0.6,0.4,0.7,0.6,0.0,0.0,,0.0,0.0,,0.3,0.0,0.3,0.1,0.1,0.1,0.0,0.3,0.9,8.03,chuma-azinge
2021-22,Eastern Illinois,OVC,1.0,0.0,14.0,1.0,3.0,0.333,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,-3.97,myles-baker
2021-22,Fresno State,MWC,23.0,2.0,18.0,1.6,4.2,0.381,0.4,0.9,0.5,1.2,3.3,0.351,0.7,0.9,0.714,0.1,1.1,1.3,0.5,0.5,0.1,0.4,1.9,5.0,1.94,junior-ballard
2020-21,Cincinnati,AAC,8.0,1.0,4.5,0.0,0.6,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.0,,0.1,0.3,0.4,0.3,0.4,0.0,0.1,0.5,0.0,7.21,rob-banks
2021-22,Princeton,Ivy,25.0,2.0,6.2,0.7,1.3,0.545,0.4,0.7,0.647,0.3,0.6,0.438,0.1,0.4,0.333,0.3,0.9,1.2,0.3,0.1,0.4,0.2,0.6,1.8,-3.95,elijah-barnes
2021-22,Kansas City,Summit,22.0,0.0,12.0,1.6,2.4,0.673,1.4,2.0,0.705,0.2,0.4,0.5,0.6,1.0,0.591,0.4,1.2,1.5,0.5,0.6,0.0,0.6,1.3,4.0,-5.23,timothy-barnes
2021-22,Delaware State,MEAC,28.0,14.0,21.9,2.4,6.1,0.384,1.7,4.1,0.417,0.6,2.0,0.316,1.0,1.6,0.609,1.3,2.5,3.8,0.5,0.8,0.4,1.3,1.7,6.4,-7.39,dmarco-baucum
2021-22,Cal State Northridge,Big West,25.0,6.0,21.0,2.0,5.2,0.38,1.8,4.6,0.395,0.2,0.6,0.267,1.0,1.3,0.788,0.7,2.0,2.7,0.8,0.7,0.2,1.2,1.5,5.1,-1.41,darius-beane
2021-22,Miami (OH),MAC,15.0,0.0,9.6,0.8,2.5,0.316,0.8,2.5,0.316,0.0,0.0,,1.3,1.7,0.8,1.5,1.3,2.7,0.4,0.4,0.2,0.7,1.6,2.9,-4.14,james-beck
2021-22,Stanford,Pac-12,5.0,1.0,2.0,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0,8.59,daniel-begovich
2021-22,Merrimack,NEC,17.0,0.0,5.4,0.4,1.4,0.292,0.1,0.2,0.25,0.4,1.2,0.3,0.5,0.5,0.889,0.1,0.5,0.6,0.2,0.1,0.0,0.2,0.6,1.6,-6.82,james-berryiii
2021-22,Bethune-Cookman,SWAC,5.0,0.0,3.8,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.0,,0.0,0.2,0.2,0.0,0.2,0.0,0.2,0.4,0.0,-6.7,quavon-blackwood
2021-22,William & Mary,CAA,13.0,3.0,23.7,3.4,6.2,0.55,2.4,3.9,0.608,1.0,2.2,0.448,2.2,3.0,0.718,1.2,3.2,4.5,0.5,0.5,0.2,1.3,2.4,9.9,-1.88,quinn-blair
2019-20,Youngstown State,Horizon,5.0,0.0,2.6,0.4,1.0,0.4,0.2,0.2,1.0,0.2,0.8,0.25,0.6,0.8,0.75,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.4,1.6,-4.79,justin-bofenkamp
2021-22,Houston Baptist,Southland,16.0,7.0,17.3,1.8,6.0,0.292,1.0,2.3,0.432,0.8,3.7,0.203,1.1,1.6,0.692,0.3,1.9,2.2,1.4,0.6,0.3,2.0,1.8,5.4,-6.71,za-ontay-boothman
2021-22,Louisiana-Monroe,Sun Belt,9.0,1.0,19.0,3.8,8.1,0.466,2.6,4.2,0.605,1.2,3.9,0.314,1.2,1.6,0.786,0.6,1.7,2.2,1.9,0.8,0.1,1.7,1.7,10.0,-2.59,trey-boston
2021-22,Norfolk State,MEAC,16.0,0.0,5.1,0.3,1.1,0.278,0.3,0.9,0.333,0.0,0.2,0.0,0.4,0.6,0.7,0.1,0.4,0.4,0.4,0.2,0.0,0.5,0.6,1.1,-9.3,andre-bottoms
2021-22,Morgan State,MEAC,14.0,0.0,6.0,0.6,1.0,0.571,0.5,0.7,0.7,0.1,0.3,0.25,0.1,0.3,0.5,0.1,0.1,0.1,0.4,0.4,0.0,0.4,0.6,1.4,-8.12,elijah-bowens
2021-22,Northeastern,CAA,21.0,0.0,3.8,0.2,0.3,0.571,0.2,0.3,0.571,0.0,0.0,,0.1,0.2,0.4,0.1,0.2,0.4,0.0,0.0,0.1,0.2,0.4,0.5,-1.19,connor-braun
