,Stars,Position,Name,SRCBB Name,Class,Ht,Wt,Immediately Eligible,January Eligible,Previous School
1,2,PG,Henry Abraham,henry-abraham,FR,72,175,,,Eastern Illinois
3,2,SG,Kani Acree,kani-acree,RS SO,78,185,,,Ball State
6,2,SG,Daniel Begovich,daniel-begovich,SR,77,205,,,Stanford
8,2,SG,Zion Bethea,zion-bethea,FR,75,205,,,Hofstra
9,2,PG,Troy Boynton,troy-boynton,FR,76,175,,,Evansville
11,2,PF,Amir Britt,amir-britt,FR,79,210,,,Manhattan
15,2,PG,Kenny Burns,kenny-burns,FR,74,169,,,Kennesaw State
16,2,PG,Braelon Bush,braelon-bush,FR,66,155,,,McNeese State
19,2,PG,Marsei Caston,marsei-caston,SO,75,173,,,New Mexico State
20,2,SF,Kale Catchings,kale-catchings,JR,78,220,Yes,,Harvard
21,2,PG,Chris Childs,chris-childs,JR,74,180,Yes,,Bryant
23,2,PG,Maurice Commander,maurice-commander,JR,72,170,Yes,,UIC
31,2,PG,Sean Duke,sean-duke,FR,74,180,,,Manhattan
32,3.5,SF,Sean Durugordon,sean-durugordon,FR,79,217,,,Missouri
33,3,PF,Greg Eboigbodin,greg-eboigbodin,RS JR,81,225,Yes,,Northeastern
34,2,SG,Alsean Evans,alsean-evans,RS JR,78,195,Yes,,Little Rock
36,2,PF,Elijah Farr,elijah-farr,RS SO,80,240,,,Murray State
38,5,C,Xavier Foster,xavier-foster,FR,84,233,,,Iowa State
41,3,SF,James Graham III,james-grahamiii,FR,80,205,,,Maryland
42,2,PG,Richie Greaves,richie-greaves,FR,73,178,,,UMass Lowell
44,2,SG,Mason Grigg,mason-grigg,FR,73,190,,,Coastal Carolina
45,2,PG,Ismail Habib,ismail-habib,FR,72,175,,,Texas–Rio Grande Valley
46,2,SG,Gary Harris,gary-harris,SO,78,200,,,Loyola Marymount
47,2,PG,Kasen Harrison,kasen-harrison,FR,73,190,,,Lamar
50,2,PG,Noah Haynesworth,noah-haynesworth,JR,74,-,Yes,,UC Davis
